gt,predictions
1,0.5015
0,0.4998
0,0.4922
0,0.5005
1,0.5034
0,0.5015
1,0.5
0,0.5005
0,0.5015
0,0.5
1,0.5005
0,0.4993
1,0.5
1,0.5005
0,0.502
1,0.5
0,0.5005
1,0.5
1,0.5005
1,0.5005
0,0.4988
0,0.5
0,0.5015
0,0.4998
0,0.4998
0,0.4988
1,0.504
0,0.501
1,0.4998
0,0.497
0,0.5005
0,0.4966
0,0.5
0,0.4995
1,0.5
1,0.5
1,0.5005
0,0.5015
1,0.505
0,0.5005
0,0.4993
0,0.4976
0,0.5
1,0.5015
1,0.501
0,0.501
1,0.501
0,0.5
1,0.4995
0,0.4998
1,0.5
1,0.502
1,0.502
1,0.5005
1,0.5005
1,0.502
1,0.4998
1,0.5005
1,0.5024
1,0.501
1,0.5024
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.5034
1,0.5005
1,0.5034
1,0.5015
1,0.5005
1,0.5
1,0.5024
1,0.5
1,0.5024
1,0.501
1,0.501
1,0.5005
1,0.501
1,0.4998
1,0.5005
1,0.501
1,0.5015
1,0.5005
1,0.503
1,0.5005
1,0.501
1,0.5
1,0.503
1,0.5
1,0.5015
1,0.5015
1,0.501
1,0.503
1,0.501
1,0.501
1,0.502
1,0.501
1,0.5
1,0.502
1,0.5
1,0.498
1,0.4998
1,0.502
1,0.5015
1,0.5015
1,0.501
1,0.501
1,0.5015
1,0.5005
1,0.5005
1,0.5024
