gt,predictions
1,0.5
0,0.4998
0,0.4958
0,0.5034
1,0.503
0,0.5015
1,0.5
0,0.5005
0,0.5
0,0.4998
1,0.5
0,0.5
1,0.5
1,0.5
0,0.538
1,0.5
0,0.5005
1,0.5
1,0.5
1,0.5
0,0.498
0,0.5
0,0.5005
0,0.4998
0,0.5
0,0.4998
1,0.5015
0,0.5
1,0.5
0,0.4998
0,0.5
0,0.4988
0,0.5015
0,0.5
1,0.5
1,0.5
1,0.5
0,0.5
1,0.5215
0,0.5
0,0.4995
0,0.4993
0,0.5
1,0.502
1,0.5005
0,0.5
1,0.5
0,0.5
1,0.5
0,0.5
1,0.5
1,0.5015
1,0.5063
1,0.5
1,0.5
1,0.5
1,0.4998
1,0.501
1,0.5005
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5005
1,0.504
1,0.5005
1,0.5596
1,0.5
1,0.5
1,0.5
1,0.501
1,0.5
1,0.5
1,0.501
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5005
1,0.5
1,0.501
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5015
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5015
1,0.4998
1,0.5
1,0.501
1,0.5024
1,0.5
1,0.5
1,0.5
1,0.5005
1,0.5
1,0.5
1,0.5005
